customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1011,Female,1,No,Yes,6,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,90.5,543.0,No
C1012,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,One year,No,Mailed check,26.7,747.6,No
C1013,Female,0,No,No,29,Yes,No phone service,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),25.32,734.28,No
C1014,Female,1,No,Yes,52,Yes,Yes,No,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,46.13,2398.76,No
C1015,Female,0,No,Yes,34,No,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),28.36,964.24,No
C1016,Female,0,No,No,11,Yes,No phone service,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.62,941.82,No
C1017,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,91.04,1365.6,No
C1018,Female,0,No,Yes,40,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,83.2,3328.0,No
C1019,Male,0,No,Yes,24,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),76.69,1840.56,No
C1020,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),97.69,4689.12,No
C1021,Male,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),96.8,6388.8,Yes
C1022,Male,0,Yes,No,25,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,106.77,2669.25,No
C1023,Female,0,No,No,39,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,88.71,3459.69,No
C1024,Female,1,No,No,59,No,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),54.3,3203.7,No
C1025,Female,0,Yes,Yes,15,Yes,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,71.52,1072.8,No
C1026,Male,0,Yes,Yes,36,Yes,No phone service,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.04,2449.44,Yes
C1027,Female,0,No,Yes,21,No,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),29.0,609.0,No
C1028,Female,0,No,No,45,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Mailed check,100.8,4536.0,Yes
C1029,Male,0,No,No,53,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),111.11,5888.83,Yes
C1030,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,118.41,1184.1,No
C1031,Male,1,Yes,No,13,Yes,No phone service,No,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,43.29,562.77,No
C1032,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,27.76,27.76,No
C1033,Female,1,No,No,0,Yes,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,29.33,0.0,No
C1034,Female,1,No,Yes,3,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,No,Mailed check,100.04,300.12,Yes
C1035,Male,0,No,No,50,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),82.44,4122.0,No
C1036,Female,0,Yes,No,65,No,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,95.12,6182.8,No
C1037,Female,0,Yes,Yes,29,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,110.33,3199.57,No
C1038,Male,1,No,Yes,63,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),41.08,2588.04,Yes
C1039,Female,0,No,Yes,52,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No,One year,No,Electronic check,55.14,2867.28,No
C1040,Male,0,Yes,Yes,58,Yes,No phone service,No,No internet service,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),98.82,5731.56,Yes
C1041,Female,1,No,No,53,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,44.46,2356.38,No
C1042,Female,0,No,No,14,Yes,No phone service,No,No,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),69.62,974.68,No
C1043,Male,0,Yes,No,37,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.23,2339.51,No
C1044,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,78.72,2912.64,No
C1045,Female,1,No,No,46,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,118.8,5464.8,No
C1046,Male,1,No,Yes,57,Yes,Yes,No,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,28.58,1629.06,No
C1047,Female,0,Yes,Yes,8,Yes,No,DSL,No,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),67.43,539.44,No
C1048,Female,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,115.82,5559.36,Yes
C1049,Female,0,Yes,Yes,59,No,Yes,No,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),53.48,3155.32,No
C1050,Female,0,No,No,8,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),93.54,748.32,No
C1051,Male,0,Yes,Yes,29,Yes,Yes,No,No internet service,Yes,No,No,No,No internet service,One year,Yes,Credit card (automatic),112.79,3270.91,No
C1052,Male,1,No,Yes,64,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,No,One year,No,Mailed check,42.54,2722.56,No
C1053,Male,0,No,No,1,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),26.3,26.3,No
C1054,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,One year,Yes,Electronic check,25.72,282.92,No
C1055,Male,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),25.45,1450.65,Yes
C1056,Female,0,Yes,Yes,12,Yes,No,No,Yes,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,53.75,645.0,No
C1057,Male,0,No,Yes,50,Yes,Yes,No,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),30.87,1543.5,Yes
C1058,Female,0,No,Yes,64,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),59.31,3795.84,No
C1059,Female,0,No,Yes,35,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,94.92,3322.2,No
C1060,Female,1,Yes,No,34,No,Yes,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,48.42,1646.28,No
C1061,Female,0,Yes,Yes,30,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Mailed check,66.9,2007.0,No
C1062,Male,0,Yes,Yes,26,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),30.99,805.74,Yes
C1063,Female,1,No,Yes,27,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,89.23,2409.21,Yes
C1064,Male,0,No,Yes,39,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Electronic check,50.4,1965.6,Yes
C1065,Male,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,31.79,2034.56,No
C1066,Female,0,Yes,No,70,No,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,115.38,8076.6,No
C1067,Male,1,No,No,62,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,96.5,5983.0,No
C1068,Male,0,No,No,8,No,No phone service,No,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,84.54,676.32,No
C1069,Male,1,Yes,Yes,22,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,91.75,2018.5,Yes
C1070,Female,0,No,Yes,54,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,61.4,3315.6,No
C1071,Male,0,Yes,No,39,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,48.43,1888.77,Yes
C1072,Male,0,Yes,Yes,24,No,Yes,No,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,69.0,1656.0,Yes
C1073,Male,0,Yes,No,22,Yes,No phone service,DSL,Yes,No internet service,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.18,2247.96,No
C1074,Female,0,No,Yes,8,Yes,No,No,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,116.31,930.48,No
C1075,Male,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),79.74,1834.02,No
C1076,Male,1,Yes,Yes,30,Yes,No,No,No,Yes,No,Yes,No internet service,Yes,Two year,No,Mailed check,56.39,1691.7,No
C1077,Male,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,91.26,2646.54,No
C1078,Female,0,No,No,39,Yes,No phone service,No,No internet service,No internet service,No,Yes,No,Yes,One year,Yes,Mailed check,89.1,3474.9,No
C1079,Female,0,No,Yes,19,Yes,No,No,Yes,No,No internet service,Yes,No,No,One year,Yes,Electronic check,43.24,821.56,No
C1080,Female,0,No,Yes,14,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),62.42,873.88,No
C1081,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),31.67,1995.21,No
C1082,Male,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,59.03,1711.87,No
C1083,Female,0,Yes,No,18,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,No,Mailed check,95.8,1724.4,No
C1084,Female,0,Yes,No,45,No,No,No,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.02,2250.9,Yes
C1085,Female,1,Yes,No,39,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),82.57,3220.23,No
C1086,Male,1,Yes,Yes,41,Yes,No,No,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,51.42,2108.22,Yes
C1087,Male,0,No,Yes,15,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,33.0,495.0,No
C1088,Female,0,Yes,Yes,52,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,93.62,4868.24,No
C1089,Female,0,Yes,Yes,13,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,78.11,1015.43,Yes
C1090,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),102.2,6132.0,No
C1091,Female,1,Yes,No,30,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),87.25,2617.5,Yes
C1092,Female,1,No,No,29,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),101.35,2939.15,No
C1093,Male,0,No,Yes,27,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,33.8,912.6,No
C1094,Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.69,2420.7,No
C1095,Male,0,No,No,47,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),55.47,2607.09,Yes
C1096,Male,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,94.14,3294.9,No
C1097,Female,0,No,No,9,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,No,One year,No,Electronic check,77.17,694.53,No
C1098,Female,0,Yes,Yes,40,No,No,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,23.53,941.2,No
C1099,Male,1,No,No,19,Yes,No,No,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,72.42,1375.98,No
C1100,Female,0,No,No,7,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Electronic check,93.92,657.44,Yes
C1101,Male,0,No,No,60,No,Yes,No,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Electronic check,44.8,2688.0,No
C1102,Female,1,Yes,Yes,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),84.76,1864.72,No
C1103,Male,0,No,No,42,No,Yes,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),103.77,4358.34,No
C1104,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,24.65,295.8,No
C1105,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,76.96,1847.04,No
C1106,Female,1,No,Yes,27,Yes,Yes,No,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),108.54,2930.58,Yes
C1107,Female,0,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,No,Electronic check,30.89,278.01,No
C1108,Male,0,Yes,No,70,No,No,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),45.46,3182.2,No
C1109,Female,0,No,Yes,22,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),81.84,1800.48,Yes
C1110,Male,0,No,Yes,41,Yes,No phone service,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,No,Mailed check,77.69,3185.29,Yes
C1111,Female,0,No,Yes,40,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),98.93,3957.2,No
C1112,Female,0,Yes,Yes,30,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Electronic check,82.16,2464.8,No
C1113,Male,0,Yes,Yes,42,Yes,No,No,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,76.74,3223.08,Yes
C1114,Female,0,No,Yes,40,Yes,No,No,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),64.09,2563.6,No
C1115,Female,0,No,Yes,5,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),25.98,129.9,No
C1116,Male,0,No,Yes,48,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),78.29,3757.92,No
C1117,Male,0,No,Yes,8,No,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),33.98,271.84,No
C1118,Male,1,No,Yes,31,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,119.58,3706.98,No
C1119,Male,0,No,Yes,26,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),26.01,676.26,No
C1120,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,25.72,823.04,No
C1121,Female,1,No,Yes,5,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,No,Mailed check,98.31,491.55,Yes
C1122,Female,0,Yes,Yes,50,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,28.32,1416.0,Yes
C1123,Male,0,No,Yes,30,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),59.32,1779.6,No
C1124,Female,0,Yes,Yes,4,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.6,450.4,Yes
C1125,Female,0,No,No,0,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,One year,Yes,Mailed check,98.36,0.0,Yes
C1126,Male,0,Yes,Yes,38,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),41.75,1586.5,No
C1127,Female,1,Yes,No,47,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,43.61,2049.67,No
C1128,Female,0,Yes,No,39,No,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),78.41,3057.99,No
C1129,Female,0,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,67.62,3448.62,Yes
C1130,Female,0,No,No,54,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,29.91,1615.14,No
C1131,Female,0,Yes,No,62,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,34.18,2119.16,No
C1132,Male,0,No,No,70,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Electronic check,99.9,6993.0,No
C1133,Female,0,No,No,63,Yes,No,No,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),53.17,3349.71,No
C1134,Female,0,No,Yes,57,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),99.5,5671.5,No
C1135,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),37.36,1158.16,Yes
C1136,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Mailed check,79.14,2849.04,Yes
C1137,Male,0,Yes,Yes,44,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Electronic check,69.52,3058.88,No
C1138,Male,0,Yes,No,12,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,51.29,615.48,No
C1139,Male,0,Yes,No,48,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,80.07,3843.36,No
C1140,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,30.7,1289.4,No
C1141,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,105.36,3898.32,No
C1142,Male,0,Yes,No,60,Yes,Yes,No,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,93.83,5629.8,No
C1143,Male,0,Yes,No,49,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.27,2316.23,No
C1144,Female,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),77.18,5171.06,No
C1145,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Two year,No,Electronic check,110.02,7701.4,Yes
C1146,Male,0,Yes,Yes,59,No,Yes,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),61.08,3603.72,Yes
C1147,Male,1,No,Yes,21,Yes,No,No,No,No internet service,No internet service,No,No,No internet service,One year,No,Credit card (automatic),55.06,1156.26,Yes
C1148,Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No,One year,Yes,Electronic check,99.49,1293.37,No
C1149,Male,0,No,No,21,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,18.12,380.52,No
C1150,Female,0,No,Yes,51,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No,One year,No,Electronic check,88.01,4488.51,No
C1151,Male,0,No,Yes,62,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),40.01,2480.62,No
C1152,Female,0,Yes,Yes,63,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),88.81,5595.03,Yes
C1153,Male,1,Yes,Yes,49,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),62.67,3070.83,Yes
C1154,Male,0,Yes,No,49,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),20.07,983.43,Yes
C1155,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,107.17,7287.56,Yes
C1156,Male,0,Yes,No,49,Yes,No phone service,No,No,Yes,Yes,No,No,No internet service,One year,No,Credit card (automatic),73.75,3613.75,No
C1157,Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),49.99,499.9,Yes
C1158,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),89.74,3230.64,No
C1159,Female,0,No,Yes,25,Yes,Yes,No,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),68.59,1714.75,No
C1160,Female,0,No,Yes,45,Yes,Yes,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,21.56,970.2,Yes
C1161,Female,1,No,No,45,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.33,3794.85,No
C1162,Male,0,Yes,Yes,21,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),116.89,2454.69,No
C1163,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,40.64,853.44,No
C1164,Male,1,No,No,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),106.02,636.12,Yes
C1165,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),81.34,1708.14,No
C1166,Male,0,Yes,Yes,59,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),25.95,1531.05,No
C1167,Male,0,Yes,No,47,No,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.46,4345.62,No
C1168,Male,0,Yes,Yes,67,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,63.03,4223.01,No
C1169,Male,0,No,Yes,66,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),98.96,6531.36,No
C1170,Male,0,No,Yes,61,Yes,No phone service,No,Yes,Yes,No,No internet service,No,Yes,One year,No,Electronic check,82.85,5053.85,Yes
C1171,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),18.28,219.36,No
C1172,Female,0,Yes,Yes,24,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),30.88,741.12,Yes
C1173,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),53.95,215.8,No
C1174,Female,0,No,No,6,Yes,Yes,No,No internet service,No,No,No internet service,No,No internet service,One year,No,Credit card (automatic),67.15,402.9,Yes
