customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,Churn_Yes,synthetic_anomaly
C1039,0,0,0,1,52,1,0,55.14,2867.28,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
C1040,1,0,1,1,58,1,1,98.82,5731.56,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,0
C1041,0,1,0,0,53,1,1,44.46,2356.38,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,0
C1042,0,0,0,0,14,1,1,69.62,974.68,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,0
C1043,1,0,1,0,37,1,1,63.23,2339.51,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,0
C1044,1,0,0,1,37,1,0,78.72,2912.64,False,True,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,0
C1045,0,1,0,0,46,1,1,118.8,5464.8,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,0
C1046,1,1,0,1,57,1,0,28.58,1629.06,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0
C1047,0,0,1,1,40,1,0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
C1048,0,0,0,0,240,1,0,0.0,0.0,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,1
C1049,0,0,1,1,59,0,1,53.48,3155.32,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0
C1050,0,0,0,0,8,1,0,93.54,748.32,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,0
C1051,1,0,1,1,145,1,1,0.0,0.0,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1
C1052,1,1,0,1,64,1,0,42.54,2722.56,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,0
C1053,1,0,0,0,1,1,0,26.3,26.3,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0
C1054,1,0,1,0,11,1,1,25.72,282.92,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,0
C1055,1,0,1,0,57,1,1,25.45,1450.65,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,0
C1056,0,0,1,1,12,1,0,53.75,645.0,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0
C1057,1,0,0,1,50,1,1,30.87,1543.5,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
C1058,0,0,0,1,64,1,0,59.31,3795.84,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0
C1059,0,0,0,1,35,1,1,94.92,3322.2,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,0
C1060,0,1,1,0,34,0,1,48.42,1646.28,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0
C1061,0,0,1,1,30,1,0,66.9,2007.0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0
C1062,1,0,1,1,26,1,0,30.99,805.74,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,0
C1063,0,1,0,1,27,1,0,89.23,2409.21,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,0
C1064,1,0,0,1,39,1,0,50.4,1965.6,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,0
C1065,1,0,1,0,64,1,0,31.79,2034.56,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,0
C1066,0,0,1,0,70,0,1,115.38,8076.6,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,0
C1067,1,1,0,0,62,1,1,96.5,5983.0,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,0
C1068,1,0,0,0,8,0,0,84.54,676.32,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0
C1069,1,1,1,1,22,1,0,91.75,2018.5,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,0
C1070,0,0,0,1,54,1,1,61.4,3315.6,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
C1071,1,0,1,0,39,1,1,48.43,1888.77,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,0
C1072,1,0,1,1,24,0,1,69.0,1656.0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,0
C1073,1,0,1,0,110,1,0,0.0,0.0,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,1
C1074,0,0,0,1,8,1,1,116.31,930.48,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,0
C1075,1,0,0,1,23,1,0,79.74,1834.02,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,0
C1076,1,1,1,1,30,1,0,56.39,1691.7,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,0
C1077,1,0,0,1,29,1,1,91.26,2646.54,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,0
C1078,0,0,0,0,39,1,1,89.1,3474.9,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,0
C1079,0,0,0,1,95,1,1,0.0,0.0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,1
C1080,0,0,0,1,14,1,1,62.42,873.88,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,0
C1081,1,0,1,1,63,1,0,31.67,1995.21,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
C1082,1,0,1,1,29,1,1,59.03,1711.87,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,0
C1083,0,0,1,0,18,1,0,95.8,1724.4,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0
C1084,0,0,1,0,45,0,1,50.02,2250.9,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,0
C1085,0,1,1,0,39,1,1,82.57,3220.23,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,0
C1086,1,1,1,1,41,1,0,51.42,2108.22,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,0
C1087,1,0,0,1,15,1,1,33.0,495.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0
C1088,0,0,1,1,52,1,1,93.62,4868.24,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,0
C1089,0,0,1,1,13,1,1,78.11,1015.43,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,0
C1090,1,1,1,0,60,1,1,102.2,6132.0,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0
C1091,0,1,1,0,30,1,0,87.25,2617.5,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,0
C1092,0,1,0,0,29,1,1,101.35,2939.15,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,0
C1093,1,0,0,1,27,1,1,33.8,912.6,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
C1094,0,0,1,1,30,1,1,80.69,2420.7,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,0
C1095,1,0,0,0,47,1,1,55.47,2607.09,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,0
C1096,1,0,0,1,35,1,1,94.14,3294.9,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0
C1097,0,0,0,0,9,1,0,77.17,694.53,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,0
C1098,0,0,1,1,40,0,0,23.53,941.2,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
C1099,1,1,0,0,19,1,1,72.42,1375.98,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
C1100,0,0,0,0,7,1,1,93.92,657.44,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,0
C1101,1,0,0,0,60,0,1,44.8,2688.0,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
C1102,0,1,1,1,22,1,1,84.76,1864.72,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
C1103,1,0,0,0,42,0,1,103.77,4358.34,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,0
C1104,0,0,1,0,12,1,1,24.65,295.8,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,0
C1105,0,0,1,0,24,1,1,76.96,1847.04,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,0
C1106,0,1,0,1,135,1,0,0.0,0.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,1
C1107,0,0,0,1,9,1,0,30.89,278.01,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,0
C1108,1,0,1,0,70,0,1,45.46,3182.2,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,0
C1109,0,0,0,1,22,1,1,81.84,1800.48,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,0
C1110,1,0,0,1,41,1,0,77.69,3185.29,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,0
C1111,0,0,0,1,40,1,0,98.93,3957.2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
C1112,0,0,1,1,30,1,0,82.16,2464.8,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,0
C1113,1,0,1,1,42,1,1,76.74,3223.08,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,True,0
C1114,0,0,0,1,40,1,1,64.09,2563.6,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0
C1115,0,0,0,1,5,1,0,25.98,129.9,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,0
C1116,1,0,0,1,48,1,1,78.29,3757.92,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,0
C1117,1,0,0,1,8,0,1,33.98,271.84,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,0
C1118,1,1,0,1,31,1,0,119.58,3706.98,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,0
C1119,1,0,0,1,26,1,1,26.01,676.26,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
C1120,1,0,1,1,32,1,1,25.72,823.04,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,0
C1121,0,1,0,1,5,1,0,98.31,491.55,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,0
C1122,0,0,1,1,50,1,0,28.32,1416.0,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,0
C1123,1,0,0,1,30,1,1,59.32,1779.6,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0
C1124,0,0,1,1,4,1,0,112.6,450.4,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,0
C1125,0,0,0,0,0,1,1,98.36,0.0,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,0
C1126,1,0,1,1,38,1,1,41.75,1586.5,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0
C1127,0,1,1,0,47,1,0,43.61,2049.67,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,0
C1128,0,0,1,0,39,0,0,78.41,3057.99,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,0
C1129,0,0,1,0,51,1,1,67.62,3448.62,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,0
C1130,0,0,0,0,54,1,1,29.91,1615.14,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
C1131,0,0,1,0,62,1,0,34.18,2119.16,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,0
C1132,1,0,0,0,70,1,1,99.9,6993.0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,0
C1133,0,0,0,0,63,1,1,53.17,3349.71,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0
C1134,0,0,0,1,57,1,0,99.5,5671.5,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0
C1135,1,0,1,0,31,1,1,37.36,1158.16,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,0
C1136,0,0,1,1,36,1,0,79.14,2849.04,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,0
C1137,1,0,1,1,44,1,0,69.52,3058.88,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
C1138,1,0,1,0,12,1,1,51.29,615.48,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
C1139,1,0,1,0,48,1,1,80.07,3843.36,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
C1140,0,0,0,1,42,1,0,30.7,1289.4,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,0
C1141,1,0,1,1,37,1,1,105.36,3898.32,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
C1142,1,0,1,0,60,1,1,93.83,5629.8,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0
C1143,1,0,1,0,49,1,1,47.27,2316.23,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,0
C1144,0,0,1,1,67,1,0,77.18,5171.06,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,0
C1145,0,0,1,0,70,1,0,110.02,7701.4,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,0
C1146,1,0,1,1,59,0,1,61.08,3603.72,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,0
C1147,1,1,0,1,21,1,0,55.06,1156.26,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,0
C1148,0,0,0,1,13,1,1,99.49,1293.37,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
C1149,1,0,0,0,21,1,0,18.12,380.52,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
C1150,0,0,0,1,51,1,0,88.01,4488.51,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,0
C1151,1,0,0,1,62,1,0,40.01,2480.62,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,0
C1152,0,0,1,1,63,1,0,88.81,5595.03,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
C1153,1,1,1,1,49,1,0,62.67,3070.83,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0
C1154,1,0,1,0,49,1,1,20.07,983.43,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0
C1155,0,0,1,1,68,1,0,107.17,7287.56,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,0
C1156,1,0,1,0,49,1,0,73.75,3613.75,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,0
C1157,0,0,1,1,10,1,0,49.99,499.9,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,0
C1158,0,0,1,1,36,1,1,89.74,3230.64,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0
C1159,0,0,0,1,25,1,1,68.59,1714.75,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0
C1160,0,0,0,1,45,1,0,21.56,970.2,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,0
C1161,0,1,0,0,45,1,1,84.33,3794.85,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
C1162,1,0,1,1,21,1,0,116.89,2454.69,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,0
C1163,1,0,1,0,21,1,1,40.64,853.44,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0
C1164,1,1,0,0,6,1,0,106.02,636.12,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,0
C1165,0,0,1,1,21,1,0,81.34,1708.14,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0
C1166,1,0,1,1,59,0,1,25.95,1531.05,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,0
C1167,1,0,1,0,47,0,1,92.46,4345.62,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,0
C1168,1,0,1,1,67,1,0,63.03,4223.01,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,0
C1169,1,0,0,1,66,1,0,98.96,6531.36,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,0
C1170,1,0,0,1,305,1,0,0.0,0.0,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,1
C1171,1,0,1,1,12,1,1,18.28,219.36,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,0
C1172,0,0,1,1,24,1,1,30.88,741.12,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,0
C1173,0,0,0,0,4,1,0,53.95,215.8,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,0
C1174,0,0,0,0,6,1,0,67.15,402.9,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,0
C1175,1,0,0,0,16,1,1,113.08,1809.28,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,0
C1176,0,1,1,1,20,1,1,101.84,2036.8,False,False,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,0
C1177,1,0,0,1,1,1,0,99.76,99.76,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0
C1178,0,0,0,0,60,1,1,73.04,4382.4,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
C1179,0,0,0,1,37,1,0,27.47,1016.39,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0
C1180,0,0,1,1,47,1,0,94.07,4421.29,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
C1181,1,0,0,0,47,1,0,26.83,1261.01,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,0
C1182,1,0,1,1,69,1,1,27.33,1885.77,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,0
